Wed Apr 21 15:48:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:50:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:06:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:08:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:12:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:14:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:16:02 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:18:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:20:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:22:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 16:24:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
